,Serial,SMILES,Bit_0,Bit_1,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6,Bit_7,Bit_8,Bit_9,Bit_10,Bit_11,Bit_12,Bit_13,Bit_14,Bit_15,Bit_16,Bit_17,Bit_18,Bit_19,Bit_20,Bit_21,Bit_22,Bit_23,Bit_24,TC,SA,Gen
367,"[28, 28, 28, 13, 25]",O=C([*])c1ccc(C(=O)NC(=O)c2ccc(C(=O)NNC(=O)c3ccc(C(=O)Nc4ccc(Nc5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.857,-2.768557938865616,36
372,"[28, 29, 25, 29, 25]",O=C(Nc1ccc(NC(=O)NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(C(=O)N[*])cc4)cc3)cc2)cc1)NC(=O)c1ccc(C(=O)[*])cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.904,-2.7255717966546325,37
394,"[28, 3, 25, 25, 25]",O=C([*])c1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(c4ccc(C(=O)Nc5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.822,-2.429887788415435,39
395,"[29, 3, 25, 29, 25]",O=C([*])Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(NC(=O)c5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.799,-2.3822421875748336,39
407,"[28, 3, 29, 29, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)N[*])cc2)cc1)C(=O)Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C(=O)[*])cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.865,-2.5456071789083214,40
443,"[28, 25, 29, 25, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)N[*])cc3)cc2)cc1)NC(=O)c1ccc(NC(=O)c2ccc(C(=O)[*])cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.897,-2.6186361775121583,44
474,"[28, 3, 25, 29, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)N[*])cc2)cc1)c1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C(=O)[*])cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.882,-2.3667563174336514,47
498,"[28, 13, 25, 29, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)N[*])cc2)cc1)c1ccc(C(=O)NNc2ccc(NNC(=O)c3ccc(C(=O)[*])cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.873,-2.739115070221011,49
499,"[28, 5, 25, 29, 25]",O=C(Nc1ccc(NC(=O)c2ccc(C(=O)N[*])cc2)cc1)c1ccc(C(=O)Nc2ccc3cc(NC(=O)c4ccc(C(=O)[*])cc4)ccc3c2)cc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.746,-2.6188098473314447,49
509,"[28, 25, 28, 25, 25]",O=C([*])c1ccc(C(=O)Nc2ccc(C(=O)NNC(=O)c3ccc(C(=O)c4ccc(C(=O)Nc5ccc(C(=O)N[*])cc5)cc4)cc3)cc2)cc1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.795,-2.6351661710167686,50
